サークル名,会場,スペース,ジャンル,description
想謳×律結 心 庵 - こころあん -,カタログ,藍-03,［音楽］クラシック・ジャズ・環境音楽等,媛貴の個人活動サークルで一次創作の楽曲制作やボイスドラマの制作をしております。
RoyReine,カタログ,藍-04,［音楽］クラシック・ジャズ・環境音楽等,物語音楽からポップス、民族音楽、ロックなど幅広い楽曲で作品の世界を表現する楽曲を制作しています！
アイリッシュバンド コールタ,カタログ,藍-05,［音楽］クラシック・ジャズ・環境音楽等,アイルランド及び北欧地域の伝統音楽を中心に演奏を行っています。昨年は結成10周年を記念した1stアルバムをリリース。M3では音源販売を行います。CD通販（郵送）も承ります。
ヴェネツィアの風,カタログ,藍-06,［音楽］クラシック・ジャズ・環境音楽等,主にケルト・アイリッシュに近い、三拍子、ゲームミュージック風のインストを作っています。楽曲と物語がセットになったアルバムを制作しています。たまに歌ものもあります。
Avena giocare,カタログ,藍-07,［音楽］クラシック・ジャズ・環境音楽等,民族音楽、オルゴールなどのオリジナルインストサークル。ゆったり系多め
ちょこミカ,カタログ,藍-08,［音楽］クラシック・ジャズ・環境音楽等,全てオリジナル曲。ストーリー付きクラシック、フリモメン・宮舞モカ、インスト（動画用BGM）など
MUSIRISCA,カタログ,藍-09,［音楽］クラシック・ジャズ・環境音楽等,造語多重コーラス楽曲を中心に、 クラシック、 エスニック、フォーク・ポップ、エレクトロニック・ミュージックなど様々なスタイルを自由自在に取り入れた、Yuria Miyazonoのオリジナル・ファンタジア・コレクション
遙か薄命,カタログ,藍-10,［音楽］クラシック・ジャズ・環境音楽等,"主にアコースティックギターを中心とした音楽。所属バンド：アコースティックバンド『iifii』、３ピースインストバンド『遙か薄明』、他。
2025.4.27 PM 新曲うｐしました＼(^o^)／"
まじっくあわ～,カタログ,藍-11,［音楽］クラシック・ジャズ・環境音楽等,「まじっくあわ～」はネットの片隅でほそぼそと活動しているサークルです。ウェブサイト上での作品の公開や、東方二次創作、オリジナルを題材としたコンテンツ製作を行っています。
K-Real Factor,カタログ,藍-12,［音楽］クラシック・ジャズ・環境音楽等,既存の音楽ルール＋森羅万象の音を、現代テクノロジーで脱構築していくプロジェクト。音楽自由至上主義を掲げ、見落とされた響きを探し求める。
ウチナキレコード,カタログ,藍-13,［音楽］クラシック・ジャズ・環境音楽等,「少し泥臭く、懐かしい唄を。」創作民族系・コーラス・土っぽいあれこれを歌っています。
Emughen,カタログ,藍-14,［音楽］クラシック・ジャズ・環境音楽等,ファンタジー、多重録音、ゲーム音楽が好き。素材として使用できるBGMをお取り扱いしています。
まりもんすくえあ,カタログ,藍-15,［音楽］クラシック・ジャズ・環境音楽等,"シネマティックなオーケストラ楽曲（怪獣音楽、SF系）など、様々な劇伴楽曲と歌モノを作って公開しています。
noteの記事に情報をまとめましたので、是非お越しください！"
キイロ洋食店,カタログ,藍-16,［音楽］クラシック・ジャズ・環境音楽等,"🦒4/26(土)21:00、
約2年ぶりの新曲「夜明けのうた」を公開しました！！🦒
コンポーザーritoka、作詞/ボーカルjuriの""ココロあったか系音楽ユニット""【きりんポトフ】です。親子で楽しめる朗らかな音楽を中心に、様々なジャンルに挑戦中！どうかあなたにも届くと嬉しいです。"
m:cafe-mikaRing の音楽小部屋 -,カタログ,藍-17,［音楽］クラシック・ジャズ・環境音楽等,"風景が見える音楽を作っています。ファンタジーオーケストラ、BGMなど。
当日はT-14ab「彩音〜xi-on〜」にて売り子してます。
「Fragment of Fantasy」(13曲入¥800)「GALAXY」(5曲入¥500)持っていきます！"
EverlastingTale,カタログ,藍-18,［音楽］クラシック・ジャズ・環境音楽等,エスニック民族風・ファンタジー物語音楽・BGM素材。多重コーラスと造語、笛やハープなど。
東京猿合奏 ／ T okyo Sargasso Studio,カタログ,藍-19,［音楽］クラシック・ジャズ・環境音楽等,"【東京猿合奏 1st EP 「Sargasso in the Sky」 BOOTHにて販売中】
ちょっとJazzyでちょっとFunkyでちょっとFusionなTOKYO SOUND｜夫婦が会社員をやりながらゆるっと音楽制作しています
----------------
【最新ミックス提供作品】歌い手 晴るさんがリリースしたオリジナル曲第二弾「水族館のダンス」のレコーディング、ミックス/マスタリングを担当しました。上記リンクから聞けます
----------------
【過去作品】“アラサーに刺さる「あの頃」系ポップス”全10曲入りコンピレーションアルバム「おもいでのアルバムVol.1」（by 年長さん）BOOTHにて販売中"
烏兎怱々レコード,カタログ,藍-20,［音楽］ポップス,テクノポップユニット「にせものぱんだ」の新譜、4人組バンド「ピログラ」の新譜があります！
Musk5cc,カタログ,藍-21,［音楽］ポップス,レトロ感が漂うサウンドのエレガンス系女性アイドルグループ風の楽曲です。（歌い手：Synthesizer V）
b q スタヂオ,カタログ,藍-22,［音楽］ポップス,"bqスタヂオです。
今年は無配やります。"
Negative piaNo,カタログ,藍-23,［音楽］ポップス,佳夏の個人サークルです。女性ボーカルの新譜をオンラインショップにて頒布予定！
naisyonote,カタログ,藍-24,［音楽］ポップス,澄往ないしょの個人サークルです。「あなたのための魔法」をテーマにしたオリジナル曲を頒布予定です。
RiCO,カタログ,藍-25,［音楽］ポップス,名古屋を拠点に活動するボーカルです。凛として繊細で切なくやさしい女性ボーカル楽曲をお届けします。新譜製作中です！
CultTeacup,カタログ,藍-26,［音楽］ポップス,星空とか痛みとか
Dragon Mountain,カタログ,藍-27,［音楽］ロック,東京都在住の作曲家です。DTMでオリジナルのオルタナティブ・ロック、アート・ロック系の楽曲を製作しています。
神風姫,カタログ,藍-28,［音楽］ロック,SynthesizerVを使って「ヴィジュアルメタルゲーム音楽」を自称して活動しています。
axelu EDM,カタログ,藍-29,［音楽］テクノ・クラブ,EDMを流行らせたいただその一心です。Progressive HouseでキラキラEDMを楽しんでください。
KodamaSounds,カタログ,藍-30,［音楽］テクノ・クラブ,KodamaSoundsはデジタルオリジナルアルバムとアレンジアルバムを製作するサークルです。
UFS Records,カタログ,藍-31,［音楽］テクノ・クラブ,カタログ掲載のみですがだいたい12年ぶりのM3参加です。全曲異なった趣旨のハードコアテクノで埋め尽くすアルバムをリリースします、よろしくお願いします。
CAFFEINED,カタログ,藍-32,［音楽］テクノ・クラブ,"無心へといざなう一杯を - Deep Sci-fi Beats
今回はデジタルカタログのみ参加のため、CD頒布はございません。
開催当日、当チャンネルにてフルアルバムを公開します。"
Afternoon Breaks,カタログ,藍-33,［音楽］テクノ・クラブ,メロディ主体の電子音楽（インスト曲）を中心に制作しています。
C-media records,カタログ,藍-34,［音楽］テクノ・クラブ,"Trance、Drum'n bass、House等の楽曲を収録した「SYNERGY」シリーズや、
CYBERPUNKをコンセプトにした「EMERGENCY CYBERPUNK」シリーズ等の各種作品を制作しています。
5/6（火）まで期間限定でBOOTHでのダウンロード販売や売り切れ作品の再販を行っております。
お得な価格のセット商品もございますので、この機会にぜひお買い求めくださいますと幸いです。"
Pure,カタログ,藍-35,［アニメ・ゲーム］アニメソング,私は音楽プロデューサーで、アンビエントやインストゥルメンタルの感情的な音楽を作っています。
Dulcets,カタログ,藍-36,［アニメ・ゲーム］アニメソング,独自性があり、魅力的な日本のアニメソング、J-pop、J-Rock、そしてBGMの制作に専念しています。エキサイティングなテーマソングから心に響く挿入歌まで、私たちのチームはすべての音符を丁寧に磨き上げます。
Y.Sato ( れぷるのぺーじ ),カタログ,藍-37,［アニメ・ゲーム］レトロゲーム,"2006年からスーファミで音楽を作っています。ゲーム風の曲だけでなく、クラシック音楽やロシア民謡等のアレンジ、それに似た雰囲気のオリジナル曲も作っています。
新潟からやっています。
ゲームインパクト様のゲームセンターインパクト（YouTube配信、FMみはら［地上波ラジオ］）のオープニング曲を制作しました。YouTubeではほぼ毎日21:00頃から、ラジオでは水曜日の17:40頃からいつも流れています。
また、最近は地元（新潟）のイベント等からも声がかかるようになり、今年3月には「がたふぇす Vol.15（第15回 にいがた アニメ・マンガフェスティバル）」に出場しました。
先日、「新潟ゲームフェスティバル × インディゲームマーケット in 新潟」出場がきっかけで、にいがた速報（ガタ子）で活動が紹介されました。
また、現在、大きな話がいくつか進行しています。"
堕武者グラインド,カタログ,藍-38,［アニメ・ゲーム］東方 Project,異文化乱入系グラインドコアバンドです。エクストリームミュージックに親しみの無い方でも安心して楽しめる、轟音と絶叫から流麗なメロディが滲み出るような東方グラインドコアアレンジをお届けします。2025年5月5日に新譜「思い出を壊そう、曇天の桜の下で君と」リリース。能登半島地震復興支援企画「酔いどれ狸が能登を往く」売上は全て能登に寄付します⇒https://ochimusyagrind.wixsite.com/ultraviolence/discography/prayfornoto
えびのスタジオ,カタログ,藍-39,［アニメ・ゲーム］VOCALOID,オリジナル曲制作。穏やかめのアコギ入りポップスなど作っています。歌は音声合成ソフトに歌ってもらっています。よろしくお願いします。
rainbeek,カタログ,藍-40,［アニメ・ゲーム］VOCALOID,【自己満足】（じこまんぞく）とは、自分自身の言動に対して、自分で満足すること。心理学用語の一つで、客観的な評価に関係なく自分自身が満足している状態を指す。﻿
ちびファイさんとこ,カタログ,藍-41,［アニメ・ゲーム］VOCALOID,さとうささらとすずきつづみが歌うオリジナル曲を頒布します。
Telunascoape ／結み紬,カタログ,藍-42,［音響］ドラマ・トーク（放送劇・声優等）,ボイスドラマサークル「結み紬(むすみつむ)」と音楽サークル「Telunascoape(テルナスコープ)」の合同サークル。BOOTHでシチュエーションボイスドラマをDL販売中です。
